,rowid,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
8304,8305,6350522,K07565.01,FALSE POSITIVE,FALSE POSITIVE,0.408,1,0,0,0,491.52571,0.05131,-0.05131,248.9249,0.0617,-0.0617,0.4713,0.4989,-0.2757,12.43,2.2,-2.2,457.3,78.9,-78.9,1.43,0.13,-0.14,159.0,0.15,0.06,-0.04,8.8,1.0,q1_q17_dr24_tce,4541.0,176.0,-160.0,4.6080000000000005,0.048,-0.048,0.669,0.06,-0.064,286.88757000000004,41.75547,15.043
8306,8307,6443274,K07567.01,CANDIDATE,CANDIDATE,0.408,0,0,0,0,608.20572,0.02616,-0.02616,160.7147,0.0341,-0.0341,0.0082,0.4535,-0.0079,13.63,1.5,-1.5,554.2,69.4,-69.4,1.46,0.13,-0.13,143.0,0.1,0.03,-0.03,11.3,1.0,q1_q17_dr24_tce,4486.0,132.0,-127.0,4.6419999999999995,0.04,-0.04,0.646,0.059,-0.057,291.95437999999996,41.826969,15.059000000000001
8308,8309,5602588,K02369.03,CANDIDATE,CANDIDATE,0.968,0,0,0,0,7.2274321,0.0001478,-0.0001478,134.4726,0.0177,-0.0177,0.003,0.439,-0.003,4.967,0.41,-0.41,173.3,20.8,-20.8,1.28,0.39,-0.14,967.0,206.77,188.74,-62.3,9.2,2.0,q1_q17_dr25_tce,6075.0,168.0,-210.0,4.486000000000001,0.052000000000000005,-0.20800000000000002,0.969,0.3,-0.1,285.72078999999997,40.85696,15.832
8309,8310,6628740,K07571.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,0.532854237,2.903e-06,-2.903e-06,131.93753999999998,0.00495,-0.00495,0.618,0.005,-0.525,3.231,0.183,-0.183,50.9,2.5,-2.5,1.21,0.32,-0.4,3042.0,20292.47,16267.15,-12401.84,27.9,1.0,q1_q17_dr25_tce,6266.0,175.0,-219.0,4.067,0.322,-0.161,1.613,0.436,-0.533,297.58078,42.061459,13.644
8310,8311,6876575,K07572.01,CANDIDATE,CANDIDATE,0.408,0,0,0,0,91.069934,0.007107,-0.007107,196.391,0.102,-0.102,0.5939,0.0065,-0.4992,17.33,3.0,-3.0,12.7,1.9,-1.9,1.59,0.34,-0.57,1103.0,349.47,237.6,-228.61,8.7,3.0,q1_q17_dr24_tce,9051.0,298.0,-379.0,3.623,0.305,-0.305,4.232,0.909,-1.521,295.51333999999997,42.31879,9.748
8311,8312,7031126,K07573.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,1,0.566802672,5.297e-06,-5.297e-06,131.81511,0.00869,-0.00869,0.128,0.388,-0.128,3.545,0.253,-0.253,31.7,6.6,-6.6,1.08,0.72,-0.71,2791.0,14458.31,30456.9,-12972.84,14.3,1.0,q1_q17_dr25_tce,5102.0,153.0,-138.0,3.787,0.8190000000000001,-0.35100000000000003,1.961,1.297,-1.297,290.98584,42.595551,13.945
8312,8313,7031742,K07575.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,1,0.566785459,6.128e-06,-6.128e-06,131.82998,0.00792,-0.00792,0.588,0.03,-0.488,2.893,0.407,-0.407,63.8,5.1,-5.1,0.84,0.26,-0.09,2280.0,6410.46,6116.2,-2077.95,16.5,1.0,q1_q17_dr25_tce,6063.0,190.0,-253.0,4.476,0.052000000000000005,-0.20800000000000002,1.012,0.318,-0.106,291.19305,42.556540999999996,15.329
8313,8314,7032687,K07577.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,1,0.5668004,5.762e-06,-5.762e-06,131.81996999999998,0.00775,-0.00775,0.593,0.024,-0.499,3.813,0.256,-0.256,93.2,7.6,-7.6,0.88,0.28,-0.09,2222.0,5739.87,5550.77,-1758.7,18.3,1.0,q1_q17_dr25_tce,6215.0,197.0,-241.0,4.543,0.039,-0.221,0.872,0.277,-0.086,291.49487,42.53331,15.77
8314,8315,7116282,K07579.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,1,0.566798676,6.446000000000001e-06,-6.446000000000001e-06,131.81422,0.00838,-0.00838,0.01,0.485,-0.01,2.777,0.274,-0.274,59.9,6.0,-6.0,0.68,0.16,-0.11,2051.0,4160.07,2969.06,-1571.48,12.8,1.0,q1_q17_dr25_tce,5490.0,166.0,-166.0,4.436,0.14,-0.171,0.887,0.207,-0.143,291.3284,42.643028,15.591
8315,8316,7133286,K07581.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,38.51077573,1.168e-05,-1.168e-05,155.594831,0.000251,-0.000251,0.467,0.002,-0.002,38.8558,0.0187,-0.0187,84633.0,30.5,-30.5,18.68,1.33,-1.82,352.0,3.64,1.14,-1.11,3567.5,3.0,q1_q17_dr25_tce,4374.0,153.0,-168.0,4.626,0.055999999999999994,-0.024,0.635,0.045,-0.062,296.05859,42.669567,13.035
8316,8317,7214090,K07583.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,0,0.577910513,2.874e-06,-2.874e-06,131.79797,0.0042,-0.0042,0.367,0.103,-0.367,1.362,0.116,-0.116,144.1,10.1,-10.1,1.1,0.33,-0.11,2081.0,4429.84,4011.07,-1295.97,18.1,1.0,q1_q17_dr25_tce,5730.0,173.0,-190.0,4.503,0.05,-0.2,0.908,0.273,-0.091,295.69482,42.756962,15.732999999999999
8317,8318,7281694,K07584.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,1,0.566807725,5.572e-06,-5.572e-06,131.7888,0.00474,-0.00474,0.155,0.341,-0.155,2.16,0.162,-0.162,31.5,2.7,-2.7,0.94,0.53,-0.52,2524.0,9645.51,17077.36,-7936.82,12.3,1.0,q1_q17_dr25_tce,5018.0,174.0,-139.0,3.9530000000000003,0.598,-0.322,1.734,0.962,-0.962,291.68167,42.809319,13.902999999999999
8318,8319,7362450,K07585.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,1,0.566807422,3.4069999999999997e-06,-3.4069999999999997e-06,131.81547,0.00651,-0.00651,0.985,0.03,-0.692,5.148,0.225,-0.225,26.1,1.5,-1.5,1.13,0.29,-0.49,2680.0,12227.82,9524.89,-8613.03,28.8,1.0,q1_q17_dr25_tce,5616.0,155.0,-141.0,4.04,0.435,-0.145,1.547,0.407,-0.662,291.68282999999997,42.932812,12.9
8319,8320,8007262,K07586.01,FALSE POSITIVE,FALSE POSITIVE,0.408,1,0,0,0,1.3450784340000002,9.939e-06,-9.939e-06,132.04218,0.00645,-0.00645,0.9526,0.043,-0.0227,10.19,2.2,-2.2,3025.0,361.0,-361.0,12.16,7.45,-2.87,2324.0,6894.58,13061.78,-3533.21,27.7,1.0,q1_q17_dr24_tce,6664.0,181.0,-294.0,4.141,0.159,-0.159,1.675,1.026,-0.395,281.88489,43.860657,12.583
8320,8321,8096395,K07587.01,CANDIDATE,CANDIDATE,0.897,0,0,0,0,366.088938,0.004884,-0.004884,165.426,0.0107,-0.0107,0.89,0.04,-0.619,11.887,0.231,-0.231,537.9,20.6,-20.6,2.57,0.78,-0.31,257.0,1.03,0.94,-0.34,29.0,1.0,q1_q17_dr25_tce,5941.0,187.0,-208.0,4.4639999999999995,0.07,-0.196,0.945,0.286,-0.114,291.35892,43.936809999999994,11.616
8321,8322,8168509,K07589.01,CANDIDATE,CANDIDATE,0.408,0,0,0,0,414.45008,0.0121,-0.0121,318.0665,0.0245,-0.0245,0.9853,17.9,-0.0761,19.15,1.1,-1.1,729.5,50.6,-50.6,7.01,4.33,-1.51,364.0,4.17,8.13,-2.01,19.0,1.0,q1_q17_dr24_tce,7037.0,215.0,-299.0,4.136,0.135,-0.135,1.683,1.04,-0.361,292.8259,44.098389000000005,13.913
8322,8323,10397751,K02859.05,CANDIDATE,CANDIDATE,0.857,0,0,0,0,5.43103616,4.629e-05,-4.629e-05,134.41711,0.00648,-0.00648,0.816,0.157,-0.576,2.469,0.179,-0.179,66.8,6.7,-6.7,0.66,0.07,-0.07,873.0,137.1,54.14,-37.76,10.8,3.0,q1_q17_dr25_tce,5374.0,160.0,-144.0,4.555,0.08800000000000001,-0.064,0.721,0.082,-0.073,288.83136,47.551990999999994,13.850999999999999
8323,8324,8297319,K07591.01,CANDIDATE,CANDIDATE,0.408,0,0,0,0,328.32211,0.01347,-0.01347,144.0773,0.0361,-0.0361,0.1169,0.353,-0.1168,13.53,1.3,-1.3,399.0,51.4,-51.4,1.3,0.18,-0.1,193.0,0.33,0.17,-0.08,8.2,1.0,q1_q17_dr24_tce,4906.0,182.0,-164.0,4.648,0.032,-0.032,0.668,0.095,-0.052,290.90695,44.291779,14.937000000000001
8324,8325,8423344,K07592.01,CANDIDATE,CANDIDATE,0.408,0,0,0,0,381.97977,0.03982,-0.03982,163.1805,0.0511,-0.0511,0.2178,0.2988,-0.2177,15.7,4.6,-4.6,900.0,319.0,-319.0,1.55,0.15,-0.14,132.0,0.07,0.02,-0.02,10.4,1.0,q1_q17_dr24_tce,3761.0,50.0,-50.0,4.724,0.06,-0.06,0.526,0.05,-0.05,288.96823,44.448341,15.494000000000002
